index,Pozo,Fecha_aforo,SAP,Ql_(bpd),Qo_(bpd),Qw,Fw_(%),Qgf_(MMpcd),Qgi_(MMpcd),Qgt_(MMpcd),RGfL_(m3/m3),RGfA_(m3/m3),RGIL_(m3/m3),RGTL_(m3/m3),Ptp_(kg/cm2),Ptp2_(kg/cm2),Ptr_(kg/cm2),Ptr2_(kg/cm2),Pld_(kg/cm2),Est_tp1_(pulg),Est_tp2_(pulg),Est_tr1_(pulg),Est_tr2_(pulg),Observaciones,Tipo_de_medicion
0,MOLOACAN 4,15/01/2014,BM,19,9,10,52.6,0.007,0,0.007,65.619,139,0,66,8,,,,8,,,,,,TANQUE
1,MOLOACAN 319,10/05/2012,BM,13,6,7,53.85,0.004,0,0.004,54.802,100,0,50,,,,,,,,,,,
2,MOLOACAN 319,09/05/2012,BM,19,13,6,31.58,0.007,0,0.007,65.619,100,0,67,,,,,,,,,,,
3,MOLOACAN 325,05/11/2014,BM,19,6,13,68.42,0.007,0,0.007,65.619,208,0,66,,,,,,,,,,POZO MOL.325,
4,MOLOACAN 327,23/04/2012,BM,19,13,6,31.58,0.004,0,0.004,37.496,50,0,33,,,,,,,,,,,
5,MOLOACAN 329,14/01/2014,BM,19,6,13,68.4,0.004,0,0.004,37.496,104,0,33,8,,,,8,,,,,,TANQUE
6,MOLOACAN 705,13/03/2014,BM,28,9,19,67.1,0.004,0,0.004,25.444,77,0,25,12,,,,12,,,,,,TANQUE
7,MOLOACAN 801,08/05/2014,BM,38,13,25,65.8,0.011,0,0.011,51.557,151,0,52,3,,,,3,,,,,,TANQUE
8,MOLOACAN 801,08/04/2014,BM,42,14,28,66.7,0.007,0,0.007,29.685,89,0,30,3,,,,3,,,,,,TANQUE
9,MOLOACAN 802,20/05/2014,BM,9,4,5,50,0.007,0,0.007,138.528,283,0,142,2.5,,,,2.5,,,,,,TANQUE
10,MOLOACAN 803,14/05/2014,BM,25,12,13,52,0.004,0,0.004,28.497,59,0,29,5,,,,5,,,,,,TANQUE
11,MOLOACAN 803,22/04/2014,BM,25,12,13,52,0.004,0,0.004,28.497,59,0,29,5,,,,5,,,,,,TANQUE
12,MOLOACAN 812,09/05/2014,BM,63,31,32,50.7,0.014,0,0.014,39.579,80,0,40,2.5,,,,2.5,,,,,,TANQUE
13,MOLOACAN 812,12/03/2014,BM,67,33,34,50,0.014,0,0.014,37.217,75,0,37,3,,,,3,,,,,,TANQUE
14,MOLOACAN 823,22/04/2014,BM,38,10,28,73.7,0.004,0,0.004,18.748,71,0,19,5,,,,5,,,,,,TANQUE
15,MOLOACAN 842,29/04/2014,BM,38,19,19,50,0.007,0,0.007,32.809,66,0,33,7,,,,7,,,,,,TANQUE
16,MOLOACAN 842,28/04/2014,BM,38,19,19,50,0.007,0,0.007,32.809,66,0,33,7,,,,7,,,,,,TANQUE
17,MOLOACAN 842,28/04/2014,BM,38,19,19,50,0.007,0,0.007,32.809,66,0,33,7,,,,7,,,,,,TANQUE
18,MOLOACAN 863,30/04/2014,BM,44,13,31,70.5,0.011,0,0.011,44.527,151,0,45,8,,,,8,,,,,,TANQUE
19,MOLOACAN 863,29/04/2014,BM,44,13,31,70.5,0.011,0,0.011,44.527,151,0,45,8,,,,8,,,,,,TANQUE
20,MOLOACAN 979,12/05/2014,BM,58,51,7,12.4,0.021,0,0.021,64.487,74,0,64,3,,,,3,,,,,,TANQUE
21,MOLOACAN 979,11/04/2014,BM,38,38,,0,0.014,0,0.014,65.619,66,0,66,3,,,,3,,,,,,TANQUE
22,MOLOACAN 979,20/03/2014,BM,11,11,,0,0.014,0,0.014,226.682,227,0,227,3,,,,3,,,,,,TANQUE
