NOMBRE DE POZO,TIPO DE FLUIDO,NOMBRE DEL ANALISIS,FECHA DE ANALISIS,VOLUMEN DE LA MUESTRA,COMENTARIOS DE LA ADQUISICION
MOLOACAN-1,ACEITE Y AGUA,CARACTERIZACION DE ACEITE CRUDO,31/07/1991,NO DISPONIBLE,SEDIMENTOS: TRAZAS; AGUA 2.4% POR CENTIF. Y 2.5 % POR DESTILACIÓN: SALINIDAD: 1037 LMB
MOLOACAN-319,ACEITE Y AGUA,AFORO,10/05/2012,NO DISPONIBLE,AGUA 53.85 %; GAS 113 M3; RGA 100 M3/M3 OPERA CON BM
MOLOACAN-319,ACEITE Y AGUA,AFORO,09/05/2012,NO DISPONIBLE,AGUA 31.58 %; GAS 198 M3; RGA 100 M3/M3 OPERA CON BM
MOLOACAN-325,ACEITE Y AGUA,AFORO,05/11/2014,NO DISPONIBLE,AGUA 68.42 %; GAS 198 M3; RGA 208 M3/M3 OPERA CON BM
MOLOACAN-327,ACEITE Y AGUA,AFORO,23/04/2012,NO DISPONIBLE,AGUA 31.58 %; GAS 113 M3; RGA 50 M3/M3 OPERA CON BM
MOLOACAN-329,ACEITE Y AGUA,AFORO,14/01/2014,NO DISPONIBLE,AGUA 68.4 %; GAS 113 M3; RGA 104 M3/M3 OPERA CON BM
MOLOACAN-4,ACEITE Y AGUA,AFORO,15/01/2014,NO DISPONIBLE,AGUA 52.6 %; GAS 198 M3; RGA 139 M3/M3 OPERA CON BM
MOLOACAN-705,ACEITE Y AGUA,AFORO,13/03/2014,NO DISPONIBLE,AGUA 67.1 %; GAS 113 M3; RGA 77 M3/M3 OPERA CON BM
MOLOACAN-801,ACEITE Y AGUA,AFORO,08/05/2014,NO DISPONIBLE,AGUA 65.8 %; GAS 311 M3; RGA 151 M3/M3 OPERA CON BM
MOLOACAN-801,ACEITE Y AGUA,AFORO,08/04/2014,NO DISPONIBLE,AGUA 66.7 %; GAS 198 M3; RGA 89 M3/M3 OPERA CON BM
MOLOACAN-802,ACEITE Y AGUA,AFORO,20/05/2014,NO DISPONIBLE,AGUA 50 %; GAS 198 M3; RGA 283 M3/M3 OPERA CON BM
MOLOACAN-803,ACEITE Y AGUA,AFORO,14/05/2014,NO DISPONIBLE,AGUA 52 %; GAS 113 M3; RGA 59 M3/M3 OPERA CON BM
MOLOACAN-803,ACEITE Y AGUA,AFORO,22/04/2014,NO DISPONIBLE,AGUA 52 %; GAS 113 M3; RGA 59 M3/M3 OPERA CON BM
MOLOACAN-812,ACEITE Y AGUA,AFORO,09/05/2014,NO DISPONIBLE,AGUA 50.7 %; GAS 396 M3; RGA 80 M3/M3 OPERA CON BM
MOLOACAN-812,ACEITE Y AGUA,AFORO,12/03/2014,NO DISPONIBLE,AGUA 50 %; GAS 396 M3; RGA 75 M3/M3 OPERA CON BM
MOLOACAN-823,ACEITE Y AGUA,AFORO,22/04/2014,NO DISPONIBLE,AGUA 73.7 %; GAS 113 M3; RGA 71 M3/M3 OPERA CON BM
MOLOACAN-842,ACEITE Y AGUA,AFORO,29/04/2014,NO DISPONIBLE,AGUA 50 %; GAS 198 M3; RGA 66 M3/M3 OPERA CON BM
MOLOACAN-842,ACEITE Y AGUA,AFORO,28/04/2014,NO DISPONIBLE,AGUA 50 %; GAS 198 M3; RGA 66 M3/M3 OPERA CON BM
MOLOACAN-842,ACEITE Y AGUA,AFORO,28/04/2014,NO DISPONIBLE,AGUA 50 %; GAS 198 M3; RGA 66 M3/M3 OPERA CON BM
MOLOACAN-863,ACEITE Y AGUA,AFORO,29/04/2014,NO DISPONIBLE,AGUA 70.5 %; GAS 311 M3; RGA 151 M3/M3 OPERA CON BM
MOLOACAN-979,ACEITE Y AGUA,AFORO,12/05/2014,NO DISPONIBLE,AGUA 12.4 %; GAS 595 M3; RGA 74 M3/M3 OPERA CON BM
MOLOACAN-979,ACEITE,AFORO,11/04/2014,NO DISPONIBLE,AGUA 0%; GAS 396 M3; RGA 66 M3/M3 OPERA CON BM
MOLOACAN-979,ACEITE,AFORO,20/03/2014,NO DISPONIBLE,AGUA 0%; GAS 396 M3; RGA 227 M3/M3 OPERA CON BM
